"sp","weights"
"Gyalopion_quadrangulare",0.00117800980359876
"Gyalopion_canum",0.00117800980324311
"Ficimia_publia",0.00117798690576876
"Ficimia_streckeri",0.00117798690582464
"Sympholis_lippiens",0.0011780724678735
"Pseudoficimia_frontalis",0.0011780724678475
"Conopsis_lineata",0.00117802691150389
"Conopsis_biserialis",0.00117802691148583
"Conopsis_nasus",0.00117803933746583
"Sonora_semiannulata",0.00117806681482944
"Sonora_aemula",0.00117806681485171
"Sonora_occipitalis",0.00117804326633504
"Sonora_palarostris",0.00117804326633507
"Sonora_mutabilis",0.00117809201694893
"Sonora_michoacanensis",0.00117809201694075
"Sonora_straminea",0.00117812102360079
"Stenorrhina_freminvillei",0.00117819687275531
"Tantilla_gracilis",0.00117761346626298
"Tantilla_hobartsmithi",0.00117761346628268
"Tantilla_planiceps",0.0011776267272998
"Tantilla_yaquia",0.00117763001661249
"Tantilla_nigriceps",0.00117763356992881
"Tantilla_relicta",0.00117762689032115
"Tantilla_coronata",0.00117762689032396
"Tantilla_impensa",0.00117768028134095
"Tantilla_alticola",0.00117768145437243
"Tantilla_supracincta",0.00117776194814631
"Tantilla_vermiformis",0.00117787794444544
"Tantilla_tjiasmantoi",0.00117787794444291
"Tantilla_armillata",0.00117789173256765
"Tantilla_melanocephala",0.00117790376442138
"Scolecophis_atrocinctus",0.00117829464302643
"Masticophis_taeniatus",0.00117792086857523
"Masticophis_schotti",0.0011779208685758
"Masticophis_mentovarius",0.00117793125242608
"Masticophis_barbouri",0.00117787104919691
"Masticophis_aurigulus",0.00117787104919692
"Masticophis_lateralis",0.00117789153100247
"Masticophis_anthonyi",0.00117795563862862
"Masticophis_flagellum",0.00117795563862886
"Coluber_constrictor",0.00117804726906912
"Masticophis_bilineatus",0.0011780472690682
"Salvadora_grahamiae",0.00117833289609872
"Salvadora_intermedia",0.00117833289609878
"Salvadora_hexalepis",0.0011783611672036
"Salvadora_mexicana",0.001178383968342
"Trimorphodon_lambda",0.00117848321043129
"Trimorphodon_tau",0.0011784832104312
"Trimorphodon_biscutatus",0.00117849016520335
"Drymoluber_dichrous",0.00117824142018399
"Drymoluber_brazili",0.00117824142018429
"Simophis_rhinostoma",0.0011782525615206
"Palusophis_bifossatus",0.00117826605296389
"Mastigodryas_melanolomus",0.00117827961766372
"Mastigodryas_boddaerti",0.00117827961766425
"Mastigodryas_dorsalis",0.00117829500549088
"Leptodrymus_pulcherrimus",0.0011783822233093
"Rhinobothryum_lentiginosum",0.00117848189302877
"Drymarchon_corais",0.00117835294511766
"Drymarchon_couperi",0.00117835294511572
"Drymarchon_melanurus",0.00117837117811545
"Spilotes_sulphureus",0.00117842638393159
"Phrynonax_shropshirei",0.00117842638393147
"Phrynonax_poecilonotus",0.00117844886858977
"Spilotes_pullatus",0.00117856633011456
"Phrynonax_polylepis",0.00117860561989392
"Chironius_brazili",0.00117783909136203
"Chironius_diamantina",0.00117783909136148
"Chironius_flavolineatus",0.00117786522699285
"Chironius_bicarinatus",0.00117787455336816
"Chironius_laurenti",0.00117782345231461
"Chironius_foveatus",0.00117782345231315
"Chironius_multiventris",0.00117782891832771
"Chironius_carinatus",0.00117786040411641
"Chironius_maculoventris",0.001177860404117
"Chironius_exoletus",0.00117787331879587
"Chironius_flavopictus",0.00117789143602055
"Chironius_quadricarinatus",0.0011779134842709
"Chironius_scurrulus",0.00117798888303056
"Chironius_laevicollis",0.00117798888303001
"Chironius_leucometapus",0.00117801066672426
"Chironius_fuscus",0.00117802361988269
"Chironius_monticola",0.00117802361988302
"Chironius_challenger",0.00117815520160956
"Chironius_grandisquamis",0.00117815520160925
"Leptophis_ahaetulla",0.00117846240747077
"Leptophis_coeruleodorsus",0.00117846240747079
"Leptophis_diplotropis",0.00117851690693102
"Leptophis_mexicanus",0.00117852665863208
"Leptophis_depressirostris",0.0011785676433467
"Oxybelis_fulgidus",0.00117853342622381
"Oxybelis_wilsoni",0.00117853342622364
"Oxybelis_aeneus",0.00117858358447499
"Oxybelis_brevirostris",0.00117859708434676
"Drymobius_chloroticus",0.00117862248993289
"Drymobius_rhombifer",0.00117862248993262
"Dendrophidion_dendrophis",0.00117863505793919
"Drymobius_margaritiferus",0.00117865596628335
"Dendrophidion_percarinatum",0.00117852442617267
"Dendrophidion_graciliverpa",0.00117852442617234
"Dendrophidion_brunneum",0.00117852796085695
"Dendrophidion_nuchale",0.00117861464218732
"Opheodrys_vernalis",0.00117917378707314
"Opheodrys_aestivus",0.00117917378707295
"Symphimus_leucostomus",0.00117924137750638
"Ptyas_dhumnades",0.00118015349817434
"Ptyas_nigromarginata",0.00118015349817409
"Ptyas_major",0.00118019077530878
"Ptyas_luzonensis",0.00118021991040173
"Ptyas_fusca",0.00118021991040186
"Ptyas_multicinctus",0.00118023700505374
"Ptyas_mucosa",0.00118026865576234
"Ptyas_carinata",0.00118026865576251
"Ptyas_korros",0.00118029056526488
"Ptyas_dipsas",0.00118030998697644
"Liopeltis_stoliczkae",0.00118031180685918
"Liopeltis_tricolor",0.00118031180685911
"Liopeltis_frenata",0.00118040150620631
"Oreocalamus_hanitschi",0.00118048150762969
"Lampropeltis_mexicana",0.00117588548092399
"Lampropeltis_leonis",0.00117588548092493
"Lampropeltis_ruthveni",0.00117589267236743
"Lampropeltis_polyzona",0.00117588021960233
"Lampropeltis_abnorma",0.00117588021960054
"Lampropeltis_micropholis",0.00117589504852748
"Lampropeltis_greeri",0.00117590861365535
"Lampropeltis_webbi",0.00117590861365481
"Lampropeltis_annulata",0.00117588282036884
"Lampropeltis_alterna",0.00117588282037094
"Lampropeltis_gentilis",0.00117588592885814
"Lampropeltis_triangulum",0.00117590486136068
"Lampropeltis_pyromelana",0.00117592833298328
"Lampropeltis_knoblochi",0.00117592833298383
"Lampropeltis_zonata",0.00117594277567945
"Lampropeltis_elapsoides",0.0011759799291922
"Lampropeltis_californiae",0.00117591263229595
"Lampropeltis_splendida",0.00117591263229454
"Lampropeltis_getula",0.00117591527368724
"Lampropeltis_holbrooki",0.00117592049843829
"Lampropeltis_nigra",0.00117592066147213
"Lampropeltis_calligaster",0.00117598013998281
"Lampropeltis_extenuata",0.00117598013998261
"Cemophora_coccinea",0.00117635959059212
"Cemophora_lineri",0.00117635959059273
